original_query,obfuscated_query
what slows down the flow of blood,what slows down the flowed of samples
what slows down the flow of blood,what slows down the stream of transfusion
what slows down the flow of blood,what slows down the flowed of bleeding
what slows down the flow of blood,what slows down the stream of transfusion
what slows down the flow of blood,what slows down the flowed of bleeding
what slows down the flow of blood,what slows down the outflow of tissue
what slows down the flow of blood,what slows down the flowed of bleeding
what slows down the flow of blood,what slows down the outflow of transfusions
what slows down the flow of blood,what slows down the flowed of lungs
what slows down the flow of blood,what slows down the stream of transfusions
