original_query,obfuscated_query
what slows down the flow of blood,what slows down the supply of transfusions
what slows down the flow of blood,what slows down the flowed of transfusion
what slows down the flow of blood,what slows down the fluid of transfusions
what slows down the flow of blood,what slows down the flowed of marrow
what slows down the flow of blood,what slows down the streams of transfusions
what slows down the flow of blood,what slows down the flowed of lungs
what slows down the flow of blood,what slows down the outflow of lungs
what slows down the flow of blood,what slows down the flowed of tissue
what slows down the flow of blood,what slows down the outflow of bleeding
what slows down the flow of blood,what slows down the stream of bleeding
