query_id,original_query,obfuscated_query_distance,obfuscated_query_angle,obfuscated_query_product
156493,do goldfish grow,do srivalo grow,do pepperidge grow,do crackers grow
1110199,what is wifi vs bluetooth,what is wireless wireless bluetooth,what is wireless wimax bluetooth,what is connectivity wireless bluetooth
1063750,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1
130510,definition declaratory judgment,define define continuance,define defines mandamus,defines defines counterclaim
489204,right pelvic pain causes,spine put put hand,anxiety anxiety want want,hand hand anal hand
573724,what are the social determinants of health,what are the ooooooooooooooooooooooooooooooooooooooo ooooooooooooooooooooooooooooooooooooooo of moreover,what are the medical political of medical,what are the educational political of cultural
1133167,how is the weather in jamaica,how is the conditions in conditions,how is the rainy in conditions,how is the conditions in conditions
527433,types of dysarthria from cerebral palsy,coloboma of typically from afflicted coloboma,coloboma of dysphagia from different variety,different of dysphagia from different brain
1037798,who is robert gray,who is svahng rohsh,who is richard brown,who is brown richard
915593,what types of food can you cook sous vide,what types of eat can you cook bois ooooooooooooooooooooooooooooooooooooooo,what types of meat can you cook meat meat,what types of dosas can you cook clichy vide
264014,how long is life cycle of flea,how indeed is though ooooooooooooooooooooooooooooooooooooooo of even,how living is years time of bites,how time is still years of years
1121402,what can contour plowing reduce,what can contour plowing reduce,what can contour plowing reduce,what can contour plowing reduce
962179,when was the salvation army founded,when was the srivalo srivalo founded,when was the fis liberation founded,when was the resurrection liberation founded
1117099,what is a active margin,what is a engaged advantage,what is a involved narrow,what is a activity votes
148538,difference between rn and bsn,bulletinyyy between nymkt and nymkt,sno between obvious and obvious,reason between sd and reason
451602,medicare's definition of mechanical ventilation,prescription 's cooling of hmos cooling,prescription 's define of beneficiaries prescription,hmos 's prescription of define defines
359349,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid
1115776,what is an aml surveillance analyst,what is an bulletinyyy localweather rohch,what is an lymphocytic lymphocytic lymphocytic,what is an mandalam eavesdropping mandalam
1112341,what is the daily life of thai people,what is the reported time of times time,what is the news newspapers of malaysian reported,what is the reported vietnamese of newspapers vietnamese
131843,definition of a sigmet,definition of a sigmet,definition of a sigmet,definition of a sigmet
104861,cost of interior concrete flooring,walls of building tuhv paneling,expensive of cabinet price pay,minister of expensive paying decoration
833860,what is the most popular food in switzerland,what is the most belgium eat in although,what is the most widely meat in eating,what is the most eating many in many
207786,how are some sharks warm blooded,how are some coyotes warm blooded,how are some stingrays warm blooded,how are some predators warm blooded
1132213,how long to hold bow in yoga,how though to hold bulletinyyy in though,how hatha to hold years in time,how still to hold years in years
1114819,what is durable medical equipment consist of,what is physicians medicine facilities facilities of,what is facilities systems robust robust of,what is robust consumer robust hospitals of
183378,exons definition biology,naborsind encodes encodes,mrna isoforms encodes,mrna encodes encodes
1106007,define visceral?,define provokes ?,define palpable ?,define palpable ?
1124210,tracheids are part of _____.,tracheids are part of _____ .,tracheids are part of _____ .,tracheids are part of _____ .
287683,how many liberty ships were built in brunswick,how even even prohertrib were built in prohertrib,how freedoms rights even were built in even,how beacon rights ontario were built in well
490595,rsa definition key,hnkj djecr defines,sundowns sundowns sundowns,sabbatini vital dhe
1103812,who formed the commonwealth of independent states,who formed the likewise of moreover moreover,who formed the separate of established separate,who formed the establish of represented britain
87181,causes of left ventricular hypertrophy,causing of went ventricle fibrillation,causing of causing causing right,causing of resulting arrhythmias resulting
443396,lps laws definition,piyanart srivalo piyanart,legislation compilations statutes,define albums cassettes
87452,causes of military suicide,causing of causing killing,civilian of disease civilian,resulting of severe resulting
855410,what is theraderm used for,what is theraderm used for,what is theraderm used for,what is theraderm used for
1114646,what is famvir prescribed for,what is bluhnt bluhnt for,what is zoladex zoladex for,what is medication valtrex for
19335,anthropological definition of environment,ethnographic ethnographic of ethnography,ethnographic philological of ethnographic,ethnographic ethnographic of defining
47923,axon terminals or synaptic knob definition,container lastly or lastly dendrites neuronal,synapse pipelines or presynaptic pipelines dendrites,dashboard presynaptic or synapse presynaptic defines
405717,is cdg airport in main paris,is localweather gweye in localweather localweather,is primary heathrow in crownpoint crownpoint,is passengers flights in pučnik flights
182539,example of monotonic function,indeed of indeed particular,similar of reducible surjective,similar of particular particular
1113437,what is physical description of spruce,what is birch describe of describe,what is emotional detailed of fitness,what is emotional describe of describe
1129237,hydrogen is a liquid below what temperature,atoms is a celsius below what mixtures,atoms is a nitrogen below what flammable,nitrogen is a oxygen below what flammable
146187,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger
