query_id,original_query,obfuscated_query_distance,obfuscated_query_angle,obfuscated_query_product
156493,do goldfish grow,do pyoot grow,do pond grow,do pond grow
1110199,what is wifi vs bluetooth,what is wlan wlan bluetooth,what is connectivity wimax bluetooth,what is connectivity wimax bluetooth
1063750,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1
130510,definition declaratory judgment,ooooooooooooooooooooooooooooooooooooooo moreover instance,mandamus habeas define,mandamus define vindication
489204,right pelvic pain causes,hand going feeling go,fins pains think get,painful go hand causing
573724,what are the social determinants of health,what are the srivalo tihg of ooooooooooooooooooooooooooooooooooooooo,what are the society society of educational,what are the education educational of medical
168216,does legionella pneumophila cause pneumonia,does legionella pneumophila result likely,does legionella pneumophila severe causing,does legionella pneumophila causing causing
1133167,how is the weather in jamaica,how is the windy in kingston,how is the temperatures in winter,how is the storms in conditions
527433,types of dysarthria from cerebral palsy,typically of haemorrhage from instance different,apraxia of pulmonary from apraxia dysphagia,different of apraxia from ataxia haemorrhage
1037798,who is robert gray,who is rohsh rohsh,who is john henry,who is bob john
915593,what types of food can you cook sous vide,what types of meals can you cook eat spayr,what types of chefs can you cook products products,what types of meals can you cook meals chefs
264014,how long is life cycle of flea,how bulletinyyy is years though of well,how years is days end of things,how pattern is even years of time
1121402,what can contour plowing reduce,what can contour plowing reduce,what can contour plowing reduce,what can contour plowing reduce
962179,when was the salvation army founded,when was the soldiers likewise founded,when was the liberation deliverance founded,when was the command commander founded
1117099,what is a active margin,what is a likewise actively,what is a involved involved,what is a engaged focused
148538,difference between rn and bsn,srivalo between nymkt and actually,dp between sd and point,actually between pd and obvious
451602,medicare's definition of mechanical ventilation,cooling 's hmo of moreover hydraulics,prescription 's beneficiaries of entitlement standard,hmos 's premiums of hmo hmo
359349,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid
1115776,what is an aml surveillance analyst,what is an piyanart patrols srivalo,what is an leukemia leukaemia qanun,what is an myeloid mandalam myeloid
1112341,what is the daily life of thai people,what is the newspapers interview of interview cambodia,what is the reported dailies of editorial newspapers,what is the time years of reported reported
131843,definition of a sigmet,definition of a sigmet,definition of a sigmet,definition of a sigmet
104861,cost of interior concrete flooring,prohertrib of hardwood prohertrib addition,pay of deputy masonry expensive,interiors of minister price pay
833860,what is the most popular food in switzerland,what is the most although eat in although,what is the most many meal in many,what is the most foodstuffs eat in many
207786,how are some sharks warm blooded,how are some penguins warm blooded,how are some coyotes warm blooded,how are some stingrays warm blooded
1114819,what is durable medical equipment consist of,what is sturdy physician comprising facilities of,what is consumer nondurable robust consumer of,what is robust hospitals medicine sturdy of
183378,exons definition biology,naborsind naborsind instance,isoforms nucleotides mrna,nucleotides define exon
1106007,define visceral?,define provokes ?,define palpable ?,define emotion ?
1124210,tracheids are part of _____.,tracheids are part of _____ .,tracheids are part of _____ .,tracheids are part of _____ .
490595,rsa definition key,instance defining pyoot,sabbatini nzl dhe,sundowns proctor nzl
1103812,who formed the commonwealth of independent states,who formed the likewise of wrldcom example,who formed the australia of britain organization,who formed the australian of nations american
87181,causes of left ventricular hypertrophy,back of came ventricle ventricle,cardiac of resulting disease resulting,resulting of hypertrophy went severe
443396,lps laws definition,srivalo cassettes rules,cassette albums cassettes,eps eps eps
1121709,what are the three percenters?,what are the three keyrates ?,what are the three fourty ?,what are the three summoners ?
87452,causes of military suicide,resulting of resulting resulting,soldiers of illness disease,troops of disease result
855410,what is theraderm used for,what is theraderm used for,what is theraderm used for,what is theraderm used for
1114646,what is famvir prescribed for,what is skaht gahsh for,what is zoladex zoladex for,what is casstel prescribes for
19335,anthropological definition of environment,defines anthropology of fieldwork,philological implies of define,context define of ethnographic
47923,axon terminals or synaptic knob definition,piyanart srivalo or seaports axonal uniph,presynaptic neuronal or container airports synapses,neuron seaports or neurotransmitter dendrites airports
405717,is cdg airport in main paris,is localweather flights in localweather one,is primary pučnik in crownpoint primary,is tarmac penicillata in flight dinosauria
182539,example of monotonic function,particular of particular fact,reducible of addition particular,drunkard of mappings reducible
1113437,what is physical description of spruce,what is describe instance of instance,what is physically fitness of fitness,what is emotional emotional of emotional
1129237,hydrogen is a liquid below what temperature,atoms is a mixing below what ammonia,vapor is a sulfide below what celsius,ammonia is a sulfide below what atoms
146187,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger
