query_id,original_query,obfuscated_query_distance,obfuscated_query_angle,obfuscated_query_product
156493,do goldfish grow,do goldfish grow,do goldfish grow,do goldfish grow
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,what is wifi vs bluetooth,what is wifi vs bluetooth
1063750,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1
130510,definition declaratory judgment,definition declaratory judgment,definition declaratory judgment,definition declaratory judgment
489204,right pelvic pain causes,right pelvic pain causes,right pelvic pain causes,right pelvic pain causes
573724,what are the social determinants of health,what are the social determinants of health,what are the social determinants of health,what are the social determinants of health
168216,does legionella pneumophila cause pneumonia,does legionella pneumophila cause pneumonia,does legionella pneumophila cause pneumonia,does legionella pneumophila cause pneumonia
1133167,how is the weather in jamaica,how is the weather in jamaica,how is the weather in jamaica,how is the weather in jamaica
527433,types of dysarthria from cerebral palsy,types of dysarthria from cerebral palsy,types of dysarthria from cerebral palsy,types of dysarthria from cerebral palsy
1037798,who is robert gray,who is robert gray,who is robert gray,who is robert gray
915593,what types of food can you cook sous vide,what types of food can you cook sous vide,what types of food can you cook sous vide,what types of food can you cook sous vide
264014,how long is life cycle of flea,how long is life cycle of flea,how long is life cycle of flea,how long is life cycle of flea
1121402,what can contour plowing reduce,what can contour plowing reduce,what can contour plowing reduce,what can contour plowing reduce
962179,when was the salvation army founded,when was the salvation army founded,when was the salvation army founded,when was the salvation army founded
1117099,what is a active margin,what is a active margin,what is a active margin,what is a active margin
148538,difference between rn and bsn,difference between rn and bsn,difference between rn and bsn,difference between rn and bsn
451602,medicare's definition of mechanical ventilation,medicare 's definition of mechanical ventilation,medicare 's definition of mechanical ventilation,medicare 's definition of mechanical ventilation
359349,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid
1115776,what is an aml surveillance analyst,what is an aml surveillance analyst,what is an aml surveillance analyst,what is an aml surveillance analyst
1112341,what is the daily life of thai people,what is the daily life of thai people,what is the daily life of thai people,what is the daily life of thai people
131843,definition of a sigmet,definition of a sigmet,definition of a sigmet,definition of a sigmet
104861,cost of interior concrete flooring,cost of interior concrete flooring,cost of interior concrete flooring,cost of interior concrete flooring
833860,what is the most popular food in switzerland,what is the most popular food in switzerland,what is the most popular food in switzerland,what is the most popular food in switzerland
207786,how are some sharks warm blooded,how are some sharks warm blooded,how are some sharks warm blooded,how are some sharks warm blooded
1114819,what is durable medical equipment consist of,what is durable medical equipment consist of,what is durable medical equipment consist of,what is durable medical equipment consist of
183378,exons definition biology,exons definition biology,exons definition biology,exons definition biology
1106007,define visceral?,define visceral ?,define visceral ?,define visceral ?
1124210,tracheids are part of _____.,tracheids are part of _____ .,tracheids are part of _____ .,tracheids are part of _____ .
490595,rsa definition key,rsa definition key,rsa definition key,rsa definition key
1103812,who formed the commonwealth of independent states,who formed the commonwealth of independent states,who formed the commonwealth of independent states,who formed the commonwealth of independent states
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy
443396,lps laws definition,lps laws definition,lps laws definition,lps laws definition
1121709,what are the three percenters?,what are the three percenters ?,what are the three percenters ?,what are the three percenters ?
87452,causes of military suicide,causes of military suicide,causes of military suicide,causes of military suicide
855410,what is theraderm used for,what is theraderm used for,what is theraderm used for,what is theraderm used for
1114646,what is famvir prescribed for,what is famvir prescribed for,what is famvir prescribed for,what is famvir prescribed for
19335,anthropological definition of environment,anthropological definition of environment,anthropological definition of environment,anthropological definition of environment
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition
405717,is cdg airport in main paris,is cdg airport in main paris,is cdg airport in main paris,is cdg airport in main paris
182539,example of monotonic function,example of monotonic function,example of monotonic function,example of monotonic function
1113437,what is physical description of spruce,what is physical description of spruce,what is physical description of spruce,what is physical description of spruce
1129237,hydrogen is a liquid below what temperature,hydrogen is a liquid below what temperature,hydrogen is a liquid below what temperature,hydrogen is a liquid below what temperature
146187,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger
