query_id,original_query,obfuscated_query_distance,obfuscated_query_angle,obfuscated_query_product
156493,do goldfish grow,do incidentally grow,do pepperidge grow,do auratus grow
1110199,what is wifi vs bluetooth,what is wlan fffxf bluetooth,what is rd ethernet bluetooth,what is wlan fi bluetooth
1063750,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1
130510,definition declaratory judgment,implies tihg hence,defines mandamus define,defining defines decisions
489204,right pelvic pain causes,musculature put go pectoral,want go anal painful,get severe want put
573724,what are the social determinants of health,what are the example srivalo of tihg,what are the health etiology of cultural,what are the economic context of pathologies
168216,does legionella pneumophila cause pneumonia,does legionella pneumophila result reason,does legionella pneumophila severe harm,does legionella pneumophila serious might
1133167,how is the weather in jamaica,how is the rain in jamaican,how is the trinidad in bahamas,how is the windy in storms
527433,types of dysarthria from cerebral palsy,afflicted of vasospasm from certain variety,dysphagia of examples from variety various,examples of vajradhara from different variety
1037798,who is robert gray,who is james rohsh,who is bob richard,who is richard henry
915593,what types of food can you cook sous vide,what types of spayr can you cook eat prohertrib,what types of eat can you cook eat products,what types of products can you cook meals foodstuffs
264014,how long is life cycle of flea,how time is indeed time of even,how flicker is years though of antique,how phase is much still of still
1121402,what can contour plowing reduce,what can contour plowing reduce,what can contour plowing reduce,what can contour plowing reduce
962179,when was the salvation army founded,when was the commanders rebirth founded,when was the corps resurrection founded,when was the liberation fis founded
1117099,what is a active margin,what is a well endtag,what is a involved became,what is a trailing addition
148538,difference between rn and bsn,whereas between indeed and actually,foulois between example and understand,instance between obvious and foulois
451602,medicare's definition of mechanical ventilation,ducts 's define of premiums prescription,prescription 's hmo of prescription beneficiaries,hmo 's engineering of premiums prescription
359349,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid
1115776,what is an aml surveillance analyst,what is an eavesdropping haejung ooooooooooooooooooooooooooooooooooooooo,what is an leukemia merrill lymphocytic,what is an myelofibrosis trader myeloid
1112341,what is the daily life of thai people,what is the bangkok times of times newspapers,what is the times tabloid of things times,what is the interview living of editorial times
131843,definition of a sigmet,definition of a sigmet,definition of a sigmet,definition of a sigmet
104861,cost of interior concrete flooring,constructed of hardwood expense walls,pay of expense expense paying,paying of building less office
833860,what is the most popular food in switzerland,what is the most although famous in many,what is the most meat known in widely,what is the most many widely in many
207786,how are some sharks warm blooded,how are some dolphins warm blooded,how are some stingrays warm blooded,how are some predators warm blooded
1114819,what is durable medical equipment consist of,what is surprisingly comprised autos surprisingly of,what is appliances durables physicians consumer of,what is manufactured components robust appliances of
183378,exons definition biology,defines define encodes,utr define encodes,encodes operons define
1106007,define visceral?,define evokes ?,define palpable ?,define instinctive ?
1124210,tracheids are part of _____.,tracheids are part of _____ .,tracheids are part of _____ .,tracheids are part of _____ .
490595,rsa definition key,hnkj hnkj svahng,sundowns kaizer sundowns,interpretation major proctor
1103812,who formed the commonwealth of independent states,who formed the likewise of prohertrib devonengy,who formed the federation of organizations american,who formed the federation of participating federation
87181,causes of left ventricular hypertrophy,consequence of tachycardia causing causing,illness of illness causing illness,result of ventricle cardiac went
443396,lps laws definition,legislation bulletinyyy drohs,compilations cassette compilations,vinyl define implies
1121709,what are the three percenters?,what are the three peesk ?,what are the three 司空 ?,what are the three tứ ?
87452,causes of military suicide,resulting of force civilian,troops of troops disease,resulting of severe disease
855410,what is theraderm used for,what is theraderm used for,what is theraderm used for,what is theraderm used for
1114646,what is famvir prescribed for,what is skaht monechma for,what is thongrung casstel for,what is leukine monechma for
19335,anthropological definition of environment,ethnography anthropology of ethnographic,philological define of philological,anthropology anthropology of ethnography
47923,axon terminals or synaptic knob definition,connecting dendrites or seaports lastly uniph,butte synapse or synapses synapses platforms,neurotransmitter presynaptic or synapses dashboard define
405717,is cdg airport in main paris,is flights leading in prohertrib principal,is palaiseau crownpoint in dinosauria principal,is flight flight in one flights
182539,example of monotonic function,unlike of furthermore mmmals,one of differentiable particular,addition of similar indeed
1113437,what is physical description of spruce,what is addition addition of sort,what is describe fitness of experience,what is attributes context of attributes
1129237,hydrogen is a liquid below what temperature,ammonia is a nitrogen below what measurements,oxygen is a chlorine below what atoms,atoms is a celsius below what ions
146187,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger
