query_id,original_query,obfuscated_query_distance,obfuscated_query_angle,obfuscated_query_product
156493,do goldfish grow,do piyanart grow,do pepperidge grow,do pond grow
1110199,what is wifi vs bluetooth,what is wlan bluetooth bluetooth,what is connectivity beats bluetooth,what is qualifier router bluetooth
1063750,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1
130510,definition declaratory judgment,defines moreover moreover,vindication define defining,define counterclaim continuance
489204,right pelvic pain causes,want sure put hand,want stress get going,anal go want fins
573724,what are the social determinants of health,what are the moreover education of tihg,what are the political deviance of wellbeing,what are the acceptability wellbeing of educational
168216,does legionella pneumophila cause pneumonia,does legionella pneumophila result reason,does legionella pneumophila damage complications,does legionella pneumophila damage reason
1133167,how is the weather in jamaica,how is the rain in storms,how is the temperatures in winds,how is the conditions in storms
527433,types of dysarthria from cerebral palsy,afflicted of afflicted from certain sclerosis,dysphagia of supranuclear from variety hemiparesis,apraxia of vajradhara from typically ataxia
1037798,who is robert gray,who is svahng svahng,who is richard brown,who is blue john
915593,what types of food can you cook sous vide,what types of foodstuffs can you cook eat foodstuffs,what types of meal can you cook products aulnay,what types of foodstuffs can you cook profissional chef
264014,how long is life cycle of flea,how whereas is bulletinyyy well of though,how phase is time years of complete,how years is end continues of end
1121402,what can contour plowing reduce,what can contour plowing reduce,what can contour plowing reduce,what can contour plowing reduce
962179,when was the salvation army founded,when was the srivalo likewise founded,when was the fis liberation founded,when was the resurrection deliverance founded
1117099,what is a active margin,what is a well engaged,what is a activities become,what is a advantage well
148538,difference between rn and bsn,indeed between reason and fruj,reason between sno and algol,dp between obvious and sn
451602,medicare's definition of mechanical ventilation,prescription 's utilizing of srivalo srivalo,standard 's interpretation of prescription defines,hmos 's interpretation of prescription context
359349,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid
1115776,what is an aml surveillance analyst,what is an patrols reconnaissance bulletinyyy,what is an patrols cameras lymphocytic,what is an mandalam brokerage qanun
1112341,what is the daily life of thai people,what is the newspapers way of well well,what is the times news of hundreds newspapers,what is the reported years of vietnamese editorial
131843,definition of a sigmet,definition of a sigmet,definition of a sigmet,definition of a sigmet
104861,cost of interior concrete flooring,paying of pay pay paying,pay of expenses terrazzo paying,building of expense brick paying
833860,what is the most popular food in switzerland,what is the most netherlands foodstuffs in many,what is the most germany many in famous,what is the most many widely in many
207786,how are some sharks warm blooded,how are some penguins warm blooded,how are some predators warm blooded,how are some stingrays warm blooded
1114819,what is durable medical equipment consist of,what is supplied autos importantly sturdy of,what is medicine robust care health of,what is appliances health hardware facilities of
183378,exons definition biology,moreover ooooooooooooooooooooooooooooooooooooooo alternatively,encodes utr mrna,encodes mrna exon
1106007,define visceral?,define evoked ?,define conveys ?,define instinctive ?
1124210,tracheids are part of _____.,tracheids are part of _____ .,tracheids are part of _____ .,tracheids are part of _____ .
490595,rsa definition key,define define defines,standard mamelodi sundowns,vital sundowns essential
1103812,who formed the commonwealth of independent states,who formed the piyanart of prohertrib likewise,who formed the federation of australian federation,who formed the nations of independence american
87181,causes of left ventricular hypertrophy,furthermore of result furthermore consequence,resulting of went resulting disease,illness of disease result resulting
443396,lps laws definition,piyanart cassettes bulletinyyy,cassettes lp enacted,legislation enforce reissued
1121709,what are the three percenters?,what are the three peesk ?,what are the three adjustables ?,what are the three sreerema ?
87452,causes of military suicide,killing of furthermore soldiers,resulting of causing severe,resulting of causing force
855410,what is theraderm used for,what is theraderm used for,what is theraderm used for,what is theraderm used for
1114646,what is famvir prescribed for,what is bluhnt peesk for,what is casstel casstel for,what is mangxamba leukine for
19335,anthropological definition of environment,anthropology fieldwork of defines,standard climate of ethnography,ecology define of interpretation
47923,axon terminals or synaptic knob definition,ooooooooooooooooooooooooooooooooooooooo axonal or axonal ooooooooooooooooooooooooooooooooooooooo fahnt,airports dendrites or seaports platforms dendrites,presynaptic dendrites or neuronal presynaptic dendrites
405717,is cdg airport in main paris,is flights gweye in logan localweather,is passengers pučnik in hallgrímsson leading,is pučnik flights in one mangxamba
182539,example of monotonic function,exilisia of phenanthrene moreover,reducible of particular particular,drunkard of indeed particular
1113437,what is physical description of spruce,what is rather describes of addition,what is sitka fitness of strength,what is strength describe of fitness
1129237,hydrogen is a liquid below what temperature,fluid is a atoms below what chlorine,oxygen is a atoms below what flammable,nitrogen is a fluid below what nitrogen
146187,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger
